Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
Lycée Raymond Queneau;Nord;Hauts-de-France;Lille;Villeneuve-d'Ascq;BTS - Services - Management Commercial Opérationnel;35;945;161;26;32.0
Lycée Du Noordover;Nord;Hauts-de-France;Lille;Grande-Synthe;BTS - Services - Conseil et commercialisation de solutions techniques;35;131;87;26;88.0
Université de Lille;Nord;Hauts-de-France;Lille;Lille;Licence - Langues étrangères appliquées - Parcours Anglais chinois appliqués aux affaires;75;444;315;73;100.0
Lycée Jean Prouve;Nord;Hauts-de-France;Lille;Lille;BTS - Production - Enveloppe des bâtiments : conception et réalisation;17;267;109;12;61.0
Lycée Jean Prouve;Nord;Hauts-de-France;Lille;Lille;BTS - Production - Management économique de la construction;32;265;130;21;79.0
Lycée André Lurçat;Nord;Hauts-de-France;Lille;Maubeuge;BTS - Services - Conseil et commercialisation de solutions techniques;24;94;46;9;75.0
Lycée André Lurçat;Nord;Hauts-de-France;Lille;Maubeuge;BTS - Services - Management Commercial Opérationnel;59;340;170;52;82.0
I.U.T. de Valenciennes - Site de Cambrai;Nord;Hauts-de-France;Lille;Cambrai;BUT - Techniques de commercialisation;124;1398;626;115;60.0
Lycée Felix Faure;Oise;Hauts-de-France;Amiens;Beauvais;BTS - Services - Support à l'action managériale;33;250;87;29;52.0
Lycée Paul Langevin;Oise;Hauts-de-France;Amiens;Beauvais;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;128;40;13;50.0
Lycée Jean Rostand;Oise;Hauts-de-France;Amiens;Chantilly;BTS - Services - Support à l'action managériale;24;213;75;22;55.0
Lycée CASSINI;Oise;Hauts-de-France;Amiens;Clermont;BTS - Services - Comptabilité et gestion;22;309;105;13;60.0
Lycée Pierre d'Ailly;Oise;Hauts-de-France;Amiens;Compiègne;CPGE - PCSI;48;1010;397;39;81.0
Lycée Mireille Grenet;Oise;Hauts-de-France;Amiens;Compiègne;BTS - Production - Conception et Réalisation de Systèmes Automatiques;21;76;54;15;88.0
Lycée Général et Technologique Jean-Paul II;Oise;Hauts-de-France;Amiens;Compiègne;BTS - Services - Commerce International;51;338;189;40;79.0
Lycée Jean Monnet;Oise;Hauts-de-France;Amiens;Crépy-en-Valois;BTS - Services - Management Commercial Opérationnel;35;282;87;24;44.0
Lycée CONDORCET;Oise;Hauts-de-France;Amiens;Méru;BTS - Services - Gestion de la PME;17;169;58;9;68.0
I.U.T de l'Oise - Site de Beauvais;Oise;Hauts-de-France;Amiens;Beauvais;BUT - Techniques de commercialisation;80;1201;503;75;45.0
Lycée Leclerc Navarre;Orne;Normandie;Normandie;Alençon;BTS - Services - Négociation et digitalisation de la Relation Client;33;363;116;23;40.0
Lycée Jean Guehenno;Orne;Normandie;Normandie;Flers;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);6;25;14;3;80.0
Lycée Saint Thomas D'Aquin;Orne;Normandie;Normandie;Flers;BTS - Services - Management Commercial Opérationnel;35;102;87;26;89.0
MFREO de la Ferté Macé;Orne;Normandie;Normandie;La Ferté Macé;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;20;40;34;10;97.0
Lycée Robespierre;Pas-de-Calais;Hauts-de-France;Lille;Arras;CPGE - PCSI;48;1497;485;38;90.0
Lycée Louis Blaringhem;Pas-de-Calais;Hauts-de-France;Lille;Béthune;BTS - Services - Commerce International;35;434;141;35;62.0
Lycée Andre Malraux;Pas-de-Calais;Hauts-de-France;Lille;Béthune;BTS - Production - Conception de produits industriels;30;162;83;15;87.0
Lycée Carnot;Pas-de-Calais;Hauts-de-France;Lille;Bruay-la-Buissière;BTS - Services - Conseil et commercialisation de solutions techniques;35;110;81;30;82.0
Lycée Pierre De Coubertin;Pas-de-Calais;Hauts-de-France;Lille;Calais;BTS - Services - Management Commercial Opérationnel;35;405;158;36;59.0
Lycée Sophie Berthelot;Pas-de-Calais;Hauts-de-France;Lille;Calais;BTS - Services - Négociation et digitalisation de la Relation Client;35;273;106;31;60.0
Lycée Diderot;Pas-de-Calais;Hauts-de-France;Lille;Carvin;BTS - Services - Comptabilité et gestion;24;302;91;23;58.0
Lycée Fernand Darchicourt;Pas-de-Calais;Hauts-de-France;Lille;Hénin-Beaumont;BTS - Services - Gestion des transports et logistique associée;35;198;82;22;62.0
Lycée Auguste Behal;Pas-de-Calais;Hauts-de-France;Lille;Lens;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;71;41;11;72.0
Lycée Auguste Behal;Pas-de-Calais;Hauts-de-France;Lille;Lens;BTS - Production - Electrotechnique;30;196;120;18;84.0
Lycée Henri Darras;Pas-de-Calais;Hauts-de-France;Lille;Liévin;BTS - Production - Contrôle industriel et régulation automatique;30;157;92;24;86.0
Lycée Henri Darras;Pas-de-Calais;Hauts-de-France;Lille;Liévin;BTS - Services - Négociation et digitalisation de la Relation Client;35;535;92;33;27.0
Lycée Alexandre Ribot;Pas-de-Calais;Hauts-de-France;Lille;Saint-Omer;BTS - Services - Comptabilité et gestion;35;214;83;16;93.0
Université du littoral - Site de Calais -;Pas-de-Calais;Hauts-de-France;Lille;Calais;Licence - Portail Mathématiques;72;406;355;36;100.0
Lycée Guy Mollet;Pas-de-Calais;Hauts-de-France;Lille;Arras;BTS - Services - Comptabilité et gestion;35;243;129;24;92.0
Lycée professionnel Savary - Ferry;Pas-de-Calais;Hauts-de-France;Lille;Arras;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;48;441;214;36;64.0
Lycée Baudimont Saint-Charles;Pas-de-Calais;Hauts-de-France;Lille;Arras;BTS - Services - Gestion de la PME;32;133;106;10;94.0
I.U.T. de Béthune;Pas-de-Calais;Hauts-de-France;Lille;Béthune;BUT - Génie mécanique et productique;65;574;406;55;89.0
Lycée Mariette;Pas-de-Calais;Hauts-de-France;Lille;Boulogne-sur-Mer;CPGE - Lettres;48;313;137;15;93.0
Lycée professionnel Agricole Sainte Marie;Pas-de-Calais;Hauts-de-France;Lille;Aire-sur-la-Lys;BTS - Agricole - Développement, animation des territoires ruraux;30;77;72;17;99.0
Institut Saint Eloi;Pas-de-Calais;Hauts-de-France;Lille;Bapaume;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;45;256;175;26;92.0
Lycée Marguerite Yourcenar;Pas-de-Calais;Hauts-de-France;Lille;Beuvry;BTS - Services - Diététique;36;635;176;33;50.0
Université du littoral - Site de Boulogne-sur-Mer;Pas-de-Calais;Hauts-de-France;Lille;Boulogne-sur-Mer;Licence - Economie et gestion;108;546;511;67;96.0
ISEN Brest;Finistère;Bretagne;Rennes;Brest;Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences;23;1593;1241;13;90.0
Université d'Artois - Site d'Arras;Pas-de-Calais;Hauts-de-France;Lille;Arras;Licence - Langues étrangères appliquées - Parcours  Anglais/Chinois - LEA;45;265;174;44;78.0
IG2I;Pas-de-Calais;Hauts-de-France;Lille;Lens;Formation d'ingénieur Bac + 5 - bac S,STI2D;64;373;139;64;41.0
Université d'Artois - Site de Liévin;Pas-de-Calais;Hauts-de-France;Lille;Liévin;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Entraînement sportif - Education et Motricité - Activité Physique adaptée pour la Santé;240;2023;869;239;48.0
Lycée Blaise Pascal;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;CPGE - Lettres;96;1171;483;85;94.0
Lycée Sidoine Apollinaire;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;BTS - Production - Bioqualité;24;234;122;16;68.0
Lycée Sidoine Apollinaire;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;BTS - Services - Professions immobilières;35;919;200;32;29.0
Lycée La Fayette;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;BTS - Production - Electrotechnique;24;210;94;21;66.0
LEGTPA Louis Pasteur (Clermont-Marmilhat);Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Lempdes;BTS - Agricole - Aménagements paysagers;27;279;92;16;57.0
Lycée Sévigné Saint-Louis;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Issoire;BTS - Services - Conseil et commercialisation de solutions techniques;26;68;62;12;98.0
Lycée Godefroy De Bouillon;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;BTS - Services - Services informatiques aux organisations;30;314;127;22;77.0
Université Clermont Auvergne;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;Licence - Langues étrangères appliquées - Parcours Anglais/Italien;15;148;61;12;70.0
Université Clermont Auvergne;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;Licence - Langues étrangères appliquées - Parcours Anglais/Espagnol;65;624;247;65;59.0
Université Clermont Auvergne;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;Licence - Lettres - Parcours Lettres modernes;120;611;591;72;100.0
LPO Louis De Foix;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Bayonne;BTS - Production - Electrotechnique;30;181;121;15;95.0
Lycée Saint-Cricq;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;10;109;53;11;74.0
Lycée Immaculée Conception Beau-Frêne;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;BTS - Production - Maintenance des systèmes - option A Systèmes de production;17;48;31;5;77.0
Lycée St Dominique;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;BTS - Services - Gestion de la PME;35;170;110;19;94.0
Institut du Travail Social Pierre Bourdieu de Pau;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;BTS - Services - Economie sociale familiale;30;264;109;26;60.0
Université de Pau et des pays de l'Adour - Collège SSH (Pau);Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;Licence - Géographie et aménagement;80;298;283;40;97.0
Université de Pau et des pays de l'Adour - Collège SSH (Pau);Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;Licence - Histoire;105;747;593;101;100.0
Université de Pau et des pays de l'Adour - Collège SSH (Tarbes);Hautes-Pyrénées;Occitanie;Toulouse;Tarbes;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours  Campus de Tarbes;250;2454;687;248;27.0
Université de Pau et des pays de l'Adour - Collège STEE (Pau);Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;Licence - Portail Physique, chimie;105;925;918;65;100.0
I.U.T. de Bayonne;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Anglet;BUT - Gestion des entreprises et des administrations;103;2463;687;108;28.0
Lycée professionnel Agricole Armand DAVID;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Hasparren;BTS - Agricole - Aménagements paysagers;28;72;64;7;97.0
Lycée Saint-John Perse;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;BTS - Services - Commerce International;35;637;185;34;42.0
Lycée Saint-John Perse;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;BTS - Services - Services informatiques aux organisations;32;336;149;28;80.0
I.U.T des Pays de l'Adour;Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Pau;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;52;506;371;51;86.0
Université de Pau et des pays de l'Adour - Collège STEE (Anglet);Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Anglet;Licence - Physique, chimie - Parcours Physique - Chimie;80;515;432;46;98.0
Lycée Marie Curie;Hautes-Pyrénées;Occitanie;Toulouse;Tarbes;BTS - Services - Economie sociale familiale;35;419;183;29;68.0
Lycée Marie Curie;Hautes-Pyrénées;Occitanie;Toulouse;Tarbes;Diplôme de Comptabilité et de Gestion;24;434;176;24;66.0
Lycée Jean Dupuy;Hautes-Pyrénées;Occitanie;Toulouse;Tarbes;BTS - Production - Electrotechnique;24;140;70;14;84.0
ENIT Tarbes;Hautes-Pyrénées;Occitanie;Toulouse;Tarbes;Formation d'ingénieur Bac + 5 - Bac général;150;6451;3464;179;64.0
L.E.G.T.A. Jean Monnet;Hautes-Pyrénées;Occitanie;Toulouse;Vic-en-Bigorre;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;19;130;63;19;86.0
Lycée Pradeau la Sède-St Pierre;Hautes-Pyrénées;Occitanie;Toulouse;Tarbes;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;30;171;103;22;93.0
Université de Perpignan Via Domitia;Pyrénées-orientales;Occitanie;Montpellier;Perpignan;Licence - Administration économique et sociale;150;909;834;146;98.0
Université de Perpignan Via Domitia;Pyrénées-orientales;Occitanie;Montpellier;Perpignan;Licence - Portail Droit;240;1641;1174;237;70.0
Lycée Aristide Maillol;Pyrénées-orientales;Occitanie;Montpellier;Perpignan;BTS - Services - Gestion de la PME;35;434;155;37;55.0
Lycée Kléber;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;CPGE - PCSI;144;2279;1015;143;61.0
Lycée Jean Rostand;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;BTS - Production - Biotechnologies;30;550;199;30;62.0
Lycée Jean Rostand;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;BTS - Services - Diététique;32;1050;182;26;38.0
Lycée Jean Rostand;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;DTS Imagerie médicale et radiologie thérapeutique;35;1098;179;35;19.0
Lycée Louis Couffignal;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;BTS - Production - Systèmes constructifs bois et habitat;15;191;89;12;72.0
Lycée des métiers René Cassin;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;BTS - Services - Support à l'action managériale;35;556;155;35;41.0
Lycée des métiers René Cassin;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;BTS - Services - Management Commercial Opérationnel;35;1619;223;33;20.0
Lycée des métiers René Cassin;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;BTS - Services - Services informatiques aux organisations;64;840;251;62;35.0
I.U.T. d'Illkirch;Bas-Rhin;Grand-Est;Strasbourg;Illkirch-Graffenstaden;BUT - Information communication Parcours publicité;30;559;67;29;12.0
Lycée ORT STRASBOURG;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;CPGE - MPSI;30;500;198;26;83.0
Lycée des Métiers Sainte Clotilde;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;BTS - Services - Gestion de la PME;26;264;123;18;51.0
I.U.T. de Schiltigheim;Bas-Rhin;Grand-Est;Strasbourg;Schiltigheim;BUT - Gestion des entreprises et des administrations;107;2106;344;116;23.0
CPI Strasbourg (ECPM);Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Formation d'ingénieur Bac + 5 - Bac Général;50;1105;324;54;32.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;DEUST - Médiations citoyennes - Ville, environnement et justice sociale;45;256;156;34;85.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Arts - Parcours Arts plastiques;100;1181;463;99;55.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Lettres - Parcours Lettres Classiques;30;293;207;26;98.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Lettres - Parcours Lettres Modernes;115;795;484;96;99.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Sciences de la vie - Parcours Biologie;700;3780;2704;645;91.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Sciences de la vie - Parcours Franco-Allemand (Strasbourg-Saarbrücken);15;172;35;15;20.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Economie et gestion;525;4245;2447;517;67.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Histoire de l'art et archéologie - Parcours Archéologie;115;984;609;109;98.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Histoire;260;1852;1522;246;95.0
Lycée Camille See;Haut-Rhin;Grand-Est;Strasbourg;Colmar;Diplôme de Comptabilité et de Gestion;38;1560;168;44;47.0
Lycée Theodore Deck;Haut-Rhin;Grand-Est;Strasbourg;Guebwiller;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);12;81;52;7;88.0
Lycée Albert Schweitzer;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;BTS - Services - Commerce International;35;867;176;35;24.0
ISEN Lille;Nord;Hauts-de-France;Lille;Lille;Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences;78;1690;1238;50;90.0
Lycée Louis-Armand;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;BTS - Production - Assistance technique d'ingénieur;24;218;97;19;59.0
Lycée Louis-Armand;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;BTS - Production - Electrotechnique;24;169;74;24;57.0
I.U.T. de Colmar;Haut-Rhin;Grand-Est;Strasbourg;Colmar;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;28;281;151;26;73.0
Lycée Jean Mermoz;Haut-Rhin;Grand-Est;Strasbourg;Saint-Louis;BTS - Production - Traitement des matériaux;15;84;51;8;77.0
Lycée Jean Mermoz;Haut-Rhin;Grand-Est;Strasbourg;Saint-Louis;BTS - Production - Conception de produits industriels;24;133;88;15;82.0
Lycée Jean Mermoz;Haut-Rhin;Grand-Est;Strasbourg;Saint-Louis;BTS - Services - Assurance;24;226;98;18;73.0
Lycée Jean Mermoz;Haut-Rhin;Grand-Est;Strasbourg;Saint-Louis;BTS - Services - Comptabilité et gestion;24;225;80;22;56.0
Lycée Saint-Andre;Haut-Rhin;Grand-Est;Strasbourg;Colmar;BTS - Services - Economie sociale familiale;24;147;110;18;91.0
I.U.T. de Mulhouse;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;BUT - Génie mécanique et productique;52;765;417;48;74.0
I.U.T. de Mulhouse;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;BUT - Science et génie des matériaux;36;359;233;24;86.0
I.U.T. de Mulhouse;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;BUT - Gestion des entreprises et des administrations;134;1778;832;134;52.0
Université de Mulhouse;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;Licence - Gestion;70;677;399;70;64.0
Lycée agricole Du Pflixbourg;Haut-Rhin;Grand-Est;Strasbourg;Wintzenheim;BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement;16;79;53;11;85.0
Lycée Laurent de Lavoisier;Haut-Rhin;Grand-Est;Strasbourg;Mulhouse;CPGE - TPC;24;212;77;24;59.0
Lycée Joseph Storck (Hotelier);Haut-Rhin;Grand-Est;Strasbourg;Guebwiller;BTS - Services - Management en hôtellerie restauration;36;126;75;18;80.0
Lycée Ampère;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 2e  Arrondissement;BTS - Services - Professions immobilières;35;1349;189;34;22.0
Lycée du Parc;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 6e  Arrondissement;CPGE - MPSI;142;7220;678;143;11.0
Lycée du Parc;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 6e  Arrondissement;CPGE - Lettres;96;2185;575;97;32.0
Lycée Juliette Récamier;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 2e  Arrondissement;CPGE - ENS Rennes D1;43;1986;289;43;19.0
Lycée La Martinière Duchère;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 9e  Arrondissement;BTS - Services - Services informatiques aux organisations;48;937;192;49;27.0
Lycée Colbert;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;BTS - Services - Professions immobilières;35;1374;278;27;21.0
Lycée Colbert;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;BTS - Services - Tourisme;59;1826;361;55;22.0
Lycée professionnel du 1er Film;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;32;797;164;24;31.0
Lycée Marcel Sembat;Rhône;Auvergne-Rhône-Alpes;Lyon;Vénissieux;BTS - Production - Electrotechnique;24;404;117;24;46.0
Lycée Marcel Sembat;Rhône;Auvergne-Rhône-Alpes;Lyon;Vénissieux;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;602;76;15;15.0
Lycée Edouard Branly;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 5e  Arrondissement;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;442;66;15;20.0
Lycée Pierre Brossolette;Rhône;Auvergne-Rhône-Alpes;Lyon;Villeurbanne;BTS - Services - Comptabilité et gestion;32;1147;182;29;25.0
Institut Catholique de Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 2e  Arrondissement;Licence - Philosophie;100;262;252;26;99.0
IUT Lyon1 Site de Villeurbanne Doua;Rhône;Auvergne-Rhône-Alpes;Lyon;Villeurbanne;BUT - Chimie;112;2014;898;123;51.0
IUT Lyon1 Site de Villeurbanne Doua;Rhône;Auvergne-Rhône-Alpes;Lyon;Villeurbanne;BUT - Génie biologique parcours biologie médicale et biotechnologie;45;3274;295;47;18.0
Lycée Aux Lazaristes;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 5e  Arrondissement;CPGE - TSI;30;371;148;33;44.0
Lycée Assomption Bellevue;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 7e  Arrondissement;CPGE - PCSI;48;902;570;46;79.0
Lycée Assomption Bellevue;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 7e  Arrondissement;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;30;136;116;30;94.0
Lycée Saint Thomas D'Aquin Veritas;Rhône;Auvergne-Rhône-Alpes;Lyon;Oullins;BTS - Services - Comptabilité et gestion;28;263;141;23;73.0
Institution des Chartreux;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 1er Arrondissement;CPGE - B/L - Lettres et sciences sociales;36;1374;389;36;49.0
Institution des Chartreux;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 1er Arrondissement;Diplôme de Comptabilité et de Gestion;42;361;221;43;65.0
Ecole LA MACHE;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;BTS - Production - Electrotechnique;24;251;114;20;57.0
Institut Agricole Sandar;Rhône;Auvergne-Rhône-Alpes;Lyon;Limonest;BTS - Agricole - Gestion et maitrise de l'eau;16;54;40;5;75.0
Université Claude Bernard Lyon 1;Rhône;Auvergne-Rhône-Alpes;Lyon;Villeurbanne;DEUST - Animation et gestion des activités physiques, sportives ou culturelles - Parcours Agent de développement de club sportif;28;398;51;24;13.0
Université Claude Bernard Lyon 1;Rhône;Auvergne-Rhône-Alpes;Lyon;Villeurbanne;Licence - Portail portail Mathématiques / Informatique;315;3646;1918;301;62.0
Université Jean Moulin Lyon 3;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Polonais et Gestion et Management;10;77;29;9;60.0
MFREO Saint Laurent de Chamousset;Rhône;Auvergne-Rhône-Alpes;Lyon;Saint-Laurent-de-Chamousset;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;20;46;35;11;89.0
Lycée Charlie Chaplin;Rhône;Auvergne-Rhône-Alpes;Lyon;Décines-Charpieu;BTS - Services - Gestion de la PME;35;1150;231;37;27.0
Lycée La Martiniere Monplaisir;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;BTS - Production - Bâtiment;24;655;131;22;34.0
Lycée La Martiniere Monplaisir;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;BTS - Production - Management économique de la construction;24;435;86;19;30.0
LPO ARAGON-PICASSO;Rhône;Auvergne-Rhône-Alpes;Lyon;Givors;BTS - Production - Conception et industrialisation en microtechniques;24;223;131;18;85.0
LPO ARAGON-PICASSO;Rhône;Auvergne-Rhône-Alpes;Lyon;Givors;BTS - Services - Management Commercial Opérationnel;24;756;232;20;35.0
Lycée Condorcet;Rhône;Auvergne-Rhône-Alpes;Lyon;Saint-Priest;BTS - Production - Maintenance des véhicules option voitures particulières;24;407;133;22;36.0
Lycée Condorcet;Rhône;Auvergne-Rhône-Alpes;Lyon;Saint-Priest;BTS - Services - Communication;27;1128;213;31;23.0
I.U.T LUMIERE Lyon 2;Rhône;Auvergne-Rhône-Alpes;Lyon;Bron;BUT - Management de la Logistique et des Transports;58;547;139;62;24.0
I.U.T Jean Moulin de l'Université Lyon 3;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 7e  Arrondissement;BUT - Information communication Parcours information numérique dans les organisations;31;1160;138;28;13.0
Lycée Robert Doisneau;Rhône;Auvergne-Rhône-Alpes;Lyon;Vaulx-en-Velin;BTS - Services - Conseil et commercialisation de solutions techniques;32;468;156;26;35.0
Lycée Lumiere;Haute-saône;Bourgogne-Franche-Comté;Besancon;Luxeuil-les-Bains;BTS - Production - Biotechnologies;30;399;150;20;94.0
Lycée polyvalent Niépce-Balleure;Saône-et-loire;Bourgogne-Franche-Comté;Dijon;Chalon-sur-Saône;BTS - Production - Conception de produits industriels;15;111;54;9;76.0
Lycée polyvalent Niépce-Balleure;Saône-et-loire;Bourgogne-Franche-Comté;Dijon;Chalon-sur-Saône;BTS - Production - Métiers de la chimie;26;258;150;25;83.0
Lycée LEON BLUM;Saône-et-loire;Bourgogne-Franche-Comté;Dijon;Le Creusot;BTS - Production - Conception et réalisation en chaudronnerie industrielle;15;61;44;12;98.0
Lycée Rene Cassin;Saône-et-loire;Bourgogne-Franche-Comté;Dijon;Mâcon;BTS - Services - Conseil et commercialisation de solutions techniques;24;163;80;18;78.0
Lycée Henri Parriat;Saône-et-loire;Bourgogne-Franche-Comté;Dijon;Montceau-les-Mines;BTS - Production - Electrotechnique;15;61;44;12;100.0
Lycée Frederic Ozanam;Saône-et-loire;Bourgogne-Franche-Comté;Dijon;Mâcon;BTS - Services - Tourisme;40;195;138;34;87.0
I.U.T de Chalon-Sur-Saône;Saône-et-loire;Bourgogne-Franche-Comté;Dijon;Chalon-sur-Saône;BUT - Génie industriel et maintenance;48;398;309;44;89.0
I.U.T de Chalon-Sur-Saône;Saône-et-loire;Bourgogne-Franche-Comté;Dijon;Chalon-sur-Saône;BUT - Science et génie des matériaux;48;361;287;18;90.0
Lycée Polyvalent Gabriel Touchard - Washington;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;CPGE - TSI;24;400;200;24;87.0
Lycée Polyvalent Gabriel Touchard - Washington;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;BTS - Production - Conception et Réalisation de Systèmes Automatiques;13;154;61;10;85.0
Lycée Polyvalent Gabriel Touchard - Washington;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;BTS - Services - Collaborateur juriste notarial;22;514;121;22;38.0
