Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
I.U.T de Montpellier-Sète - site de Montpellier - campus Occitanie;Hérault;Occitanie;Montpellier;Montpellier;BUT - Génie biologique Parcours diététique et nutrition;28;1390;279;24;20.0
I.U.T de Montpellier-Sète - site de Montpellier - campus Occitanie;Hérault;Occitanie;Montpellier;Montpellier;BUT - Génie biologique parcours sciences de l'aliment et biotechnologie;28;867;259;21;42.0
Lycée Nevers;Hérault;Occitanie;Montpellier;Montpellier;BTS - Services - Comptabilité et gestion;35;227;87;31;48.0
Université de Montpellier;Hérault;Occitanie;Montpellier;Montpellier;Licence - Administration économique et sociale - Parcours Administration économique et sociale( Institut Montpellier Management - MOMA);260;2234;1468;245;71.0
Université de Montpellier;Hérault;Occitanie;Montpellier;Montpellier;CUPGE - Cycle Universitaire Préparatoire aux Grandes Ecoles - Mathématiques et Physique;15;1147;183;12;27.0
Université Paris 1 Panthéon Sorbonne;Paris;Île-de-France;Paris;Paris;BUT Science des données;200;500;125;50;25.0
Université Claude Bernard Lyon 1;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon;BUT Science des données;100;300;90;30;30.0
Université Paul Sabatier;Haute-Garonne;Occitanie;Toulouse;Toulouse;BUT Science des données;150;400;112;42;28.0
Université de Bordeaux;Gironde;Nouvelle-Aquitaine;Bordeaux;Bordeaux;BUT Science des données;130;350;94;35;27.0
Université de Lorraine;Meurthe-et-Moselle;Grand Est;Nancy-Metz;Nancy;BUT Science des données;80;250;80;26;32.0
Université Paris-Saclay;Essonne;Île-de-France;Versailles;Orsay;BUT Informatique;400;800;160;80;20.0
Université Aix-Marseille;Bouches-du-Rhône;PACA;Aix-Marseille;Marseille;BUT Informatique;300;600;132;66;22.0
IUT Paris Rives de Seine;Paris;Île-de-France;Paris;Paris;BTS SIO;200;700;245;70;35.0
Sorbonne Université;Paris;Île-de-France;Paris;Paris;Licence Informatique;250;1000;400;100;40.0
École Polytechnique;Essonne;Île-de-France;Versailles;Palaiseau;Master Data Science;100;400;60;15;15.0
ESEO Dijon;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;Dijon;Formation d'ingénieur Bac + 5 - Bacs généraux - 1 Science;1;35;27;0;76.0
Lycée professionnel Marie Laurencin;Paris;Ile-de-France;Paris;Paris 10e  Arrondissement;FCIL - Homewear;10;15;4;4;20.0
CY Cergy Paris Université - Antenne de l'IEG de Gennevilliers;Hauts-de-Seine;Ile-de-France;Versailles;Gennevilliers;Licence - Sciences, Enseignement, Médiation;60;143;142;59;98.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Histoire;300;1992;1686;308;100.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Histoire de l'art et archéologie;220;1601;1599;244;100.0
Lycée professionnel Louis Martin Bret;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;Aix-Marseille;Manosque;Certificat de Spécialisation - Technicien(ne) en soudage;12;29;16;4;76.0
Lycée professionnel Alphonse Beau De Rochas;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;Aix-Marseille;Digne-les-Bains;Certificat de Spécialisation - Techn. en énergies renouvelables opt. b énergie thermique;12;15;14;8;100.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Portail Psychologie;690;9625;2959;719;40.0
UFR des Sciences Médicales et Paramédicales site Nord Université Aix Marseille;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille 15e  Arrondissement;D.E Audioprothésiste;18;418;69;18;19.0
Lycée professionnel Paul Langevin;Nord;Hauts-de-France;Lille;Waziers;Certificat de Spécialisation - Techn. en énergies renouvelables opt. a énergie électrique;15;50;22;6;88.0
Lycée polyvalent Aimé Césaire;Loire-Atlantique;Pays-de-la-Loire;Nantes;Clisson;BTS - Production - Finitions, aménagement des bâtiments: conception et réalisation;15;183;59;12;53.0
Lycée Technologique La Providence;Maine-et-Loire;Pays-de-la-Loire;Nantes;Cholet;BTS - Services - Opticien-Lunetier;15;89;38;11;60.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Italien;45;145;137;10;97.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Espagnol;120;592;481;79;100.0
Lycée Alphonse Benoit;Vaucluse;Provence-Alpes-Côte d'Azur;Aix-Marseille;L'Isle-sur-la-Sorgue;BTS - Production - Electrotechnique;12;97;42;6;60.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Portugais;45;78;76;11;100.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Langues étrangères appliquées - Parcours Espagnol - Portugais;27;112;107;19;99.0
Lycée professionnel agricole De Borgo Marana;;Corse;Corse;Borgo;BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement;20;52;43;12;94.0
LYCEE POLYVALENT CHRISTIAN BOURQUIN;Pyrénées-orientales;Occitanie;Montpellier;Argelès-sur-Mer;FCIL - Hôtellerie de plein air;15;19;12;1;100.0
Université de Perpignan Via Domitia;Pyrénées-orientales;Occitanie;Montpellier;Perpignan;Licence - Sciences de la vie et de la terre - Parcours Préparatoire au Professorat des Ecoles (PPPE);10;168;73;9;75.0
EIL Côte d'Opale - Site de Dunkerque;Nord;Hauts-de-France;Lille;Dunkerque;Formation d'ingénieur Bac + 5 - Bac Général et STI2D;36;172;96;21;75.0
Université Paul Valery - Montpellier 3;Hérault;Occitanie;Montpellier;Montpellier;Licence - Langues étrangères appliquées - Parcours Espagnol - Chinois;13;53;49;8;97.0
Lycée Saint-Joseph;Hérault;Occitanie;Montpellier;Sète;BTS - Services - Commerce International;20;322;90;20;36.0
ECM;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;Dijon;Licence - Gestion - Parcours Commerce Vente et Marketing;70;388;252;48;78.0
ECM;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;Dijon;Licence - Gestion - Parcours Gestion des Ressources Humaines;15;85;51;3;67.0
Lycée Jean Guehenno;Ille-et-Vilaine;Bretagne;Rennes;Fougères;BTS - Services - Conseil et commercialisation de solutions techniques;18;182;78;16;70.0
Lycée Beaumont;Ille-et-Vilaine;Bretagne;Rennes;Redon;BTS - Services - Management Commercial Opérationnel;35;853;253;27;58.0
Lycée Joliot-Curie;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Conseil et commercialisation de solutions techniques;35;643;199;29;38.0
Lycée Pierre Mendes France;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;28;255;161;17;96.0
Lycée Pierre Mendes France;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Production - Bâtiment;30;572;203;28;61.0
Ecole Nationale Supérieure d'Architecture de Bretagne;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Architecture;90;2468;222;90;11.0
ESIGELEC Rouen;Seine-Maritime;Normandie;Normandie;Saint-Etienne-du-Rouvray;Formation d'ingénieur Bac + 5 - Bac série générale avec la spécialité Maths en Terminale + une spécialité scientifique;135;3701;3507;94;96.0
Lycée professionnel Ecole Libre De Metiers;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille  6e  Arrondissement;Certificat de Spécialisation - Cybersécurité;10;24;11;2;100.0
Lycée Don Bosco;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille  6e  Arrondissement;Certificat de Spécialisation - Production et réparation de produits électroniques;12;13;12;3;100.0
Lycée St Martin;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Service et prestation des secteurs sanitaire et social;35;305;179;25;85.0
Lycée / Pôle Sup de La Salle - Groupe Saint Jean;Ille-et-Vilaine;Bretagne;Rennes;Rennes;CPGE - ECT - Option technologique;30;142;103;33;85.0
Lycée / Pôle Sup de La Salle - Groupe Saint Jean;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Services informatiques aux organisations;35;112;79;37;82.0
Lycée / Pôle Sup de La Salle - Groupe Saint Jean;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Diplôme de Comptabilité et de Gestion;35;180;120;34;83.0
Lycée Jeanne d'Arc;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Economie sociale familiale;35;163;80;40;52.0
Lycée Simone Weil;Paris;Ile-de-France;Paris;Paris  3e  Arrondissement;FCIL classe passerelle BTS option service;20;0;46;11;
Université de Rennes (EPE);Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Economie et gestion - Parcours Economie-gestion Section internationale;65;1609;327;68;25.0
Université de Rennes 2;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Géographie et aménagement - Parcours Géographie, Aménagement;160;711;663;139;100.0
Université de Rennes 2;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Russe - confirmé  (niveau B1/B2 attendu);40;26;26;6;100.0
Université de Rennes 2;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Portugais;80;58;57;10;100.0
Université de Rennes 2;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Histoire de l'art et archéologie;280;1990;1826;274;100.0
Université de Rennes 2;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours  Allemand - confirmé;70;28;28;4;100.0
Université de Rennes 2;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Espagnol;120;436;374;61;100.0
ISEN Ouest Nantes;Loire-Atlantique;Pays-de-la-Loire;Nantes;Carquefou;Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences;28;1678;1315;22;90.0
Lycée René Descartes;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Professions immobilières;35;1231;287;34;40.0
Lycée Victor et Hélène BASCH;Ille-et-Vilaine;Bretagne;Rennes;Rennes;CPGE - ENS Cachan D2;45;882;272;45;45.0
Lycée Victor et Hélène BASCH;Ille-et-Vilaine;Bretagne;Rennes;Rennes;BTS - Services - Négociation et digitalisation de la Relation Client;70;2520;467;68;21.0
ESME Sudria Bordeaux;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;Formation d'ingénieur Bac + 5 - Bac Série générale;75;2145;1928;53;90.0
I.U.T de Saint-Malo;Ille-et-Vilaine;Bretagne;Rennes;Saint-Malo;BUT - Gestion des entreprises et des administrations;115;2538;839;115;41.0
EPITA Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 3e  Arrondissement;Formation d'ingénieur Bac + 5 - Bac Série générale;110;2065;1682;66;86.0
